Rank,Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec
11,君っっを！！っっっっの！！っっっっせっっっってっっっっ！！！！,2883801,https://www.youtube.com/watch?v=zeDDGxTTEMQ,https://i.ytimg.com/vi/zeDDGxTTEMQ/hqdefault.jpg,2022-08-12T14:34:11Z,64
12,地球で１，０００，０００，０００，０００度の炎を放つとどうなるのか検証したユニバースサンドボックス２,2805050,https://www.youtube.com/watch?v=B9I0rL7ErAY,https://i.ytimg.com/vi/B9I0rL7ErAY/hqdefault.jpg,2019-12-22T10:00:00Z,653
13,現実では不可能な超巨大ビー玉レースを作って実況するマーブルワールド,2737512,https://www.youtube.com/watch?v=14BZl4gI8NM,https://i.ytimg.com/vi/14BZl4gI8NM/hqdefault.jpg,2021-09-27T10:00:03Z,1128
14,自分の考えた最強の世界を創造してたまに爆弾で人類滅ぼすワールドボックス,2713462,https://www.youtube.com/watch?v=ilmOtC7-Ivw,https://i.ytimg.com/vi/ilmOtC7-Ivw/hqdefault.jpg,2020-02-26T10:00:10Z,1006
15,最強に育った文明が全部同時に戦争を始めたらどこが勝つ？？？,2697959,https://www.youtube.com/watch?v=m_ZuY5GVF2U,https://i.ytimg.com/vi/m_ZuY5GVF2U/hqdefault.jpg,2022-06-24T10:00:14Z,1727
16,バカにつける薬を作って大儲けするプレイグインク,2636334,https://www.youtube.com/watch?v=bJm9Q0rzy8I,https://i.ytimg.com/vi/bJm9Q0rzy8I/hqdefault.jpg,2021-02-08T10:00:10Z,967
17,日本の犯罪率を100%にしたいと思います,2588929,https://www.youtube.com/watch?v=twU7pyuMrIY,https://i.ytimg.com/vi/twU7pyuMrIY/hqdefault.jpg,2021-10-30T10:00:32Z,942
18,シャンクスになってルフィに帽子をかぶせるゲーム,2567789,https://www.youtube.com/watch?v=VVejeCxXfDA,https://i.ytimg.com/vi/VVejeCxXfDA/hqdefault.jpg,2022-04-16T10:00:12Z,758
19,ウィルス感染シミュレーターで自己隔離の重要性を学ぶ,2553869,https://www.youtube.com/watch?v=rw6bgDjhAoM,https://i.ytimg.com/vi/rw6bgDjhAoM/hqdefault.jpg,2020-04-14T10:00:32Z,798
20,どう見てもまじめに作られてない鹿のゲーム,2538651,https://www.youtube.com/watch?v=_jbaWf2pS1s,https://i.ytimg.com/vi/_jbaWf2pS1s/hqdefault.jpg,2021-12-14T10:00:16Z,1995
21,光の速度で地球を蹴ったらどうなる？,2506653,https://www.youtube.com/watch?v=hN4zWUQx8vE,https://i.ytimg.com/vi/hN4zWUQx8vE/hqdefault.jpg,2019-11-28T10:00:14Z,601
22,渋滞と戦うため道路一本でプレイしたら通勤に半年かかる街が出来たシティーズスカイラインズ,2480340,https://www.youtube.com/watch?v=tYUjSam-P3Y,https://i.ytimg.com/vi/tYUjSam-P3Y/hqdefault.jpg,2019-10-27T09:00:08Z,1062
23,トイレと蛇口　接続してみた,2407343,https://www.youtube.com/watch?v=TRym_pr9CJI,https://i.ytimg.com/vi/TRym_pr9CJI/hqdefault.jpg,2019-04-01T09:00:07Z,1248
24,核ミサイルを手当たりしだいに撃ちまくって第三次世界大戦がどうなるかを見るパワーアンドレボリューション2019,2378761,https://www.youtube.com/watch?v=Hgg5yWiTht4,https://i.ytimg.com/vi/Hgg5yWiTht4/hqdefault.jpg,2020-01-12T10:00:02Z,965
25,地球を太陽より大きくしたらどうなるのか検証したユニバースサンドボックス２,2364364,https://www.youtube.com/watch?v=pr6D5V-noHM,https://i.ytimg.com/vi/pr6D5V-noHM/hqdefault.jpg,2019-08-03T14:00:09Z,647
26,割とマジでなんでもポケットにしまえるしずえさん,2358524,https://www.youtube.com/watch?v=6xPBo6ZVkLs,https://i.ytimg.com/vi/6xPBo6ZVkLs/hqdefault.jpg,2019-01-11T03:00:01Z,213
27,王となって殺人を合法化するギルド3,2260873,https://www.youtube.com/watch?v=WCl_s7die90,https://i.ytimg.com/vi/WCl_s7die90/hqdefault.jpg,2020-12-16T10:00:19Z,1297
28,チートで100万人集めてウルトラメガ密クラスターを作って爆破したシティーズスカイラインズ,2244949,https://www.youtube.com/watch?v=V7iKPVZNmTg,https://i.ytimg.com/vi/V7iKPVZNmTg/hqdefault.jpg,2020-05-08T10:00:18Z,1133
29,コンビニ店員となってクソ上司に悪態つきながら客にいろいろおごってもらうジョブシミュレーター,2210691,https://www.youtube.com/watch?v=GgOpId3XCeI,https://i.ytimg.com/vi/GgOpId3XCeI/hqdefault.jpg,2019-09-03T09:00:00Z,679
30,生きて帰れない乗り物しかない遊園地を作るパークビヨンド,2116002,https://www.youtube.com/watch?v=YFuwnoHNuNk,https://i.ytimg.com/vi/YFuwnoHNuNk/hqdefault.jpg,2023-06-19T10:00:10Z,1080
31,どれくらいの災害が起きたらオリンピックが中止になるか調べるためアルマゲドンの定義をしてあげるソーラースマッシュ,2089634,https://www.youtube.com/watch?v=UpzrAumdGYg,https://i.ytimg.com/vi/UpzrAumdGYg/hqdefault.jpg,2021-06-08T10:00:10Z,985
32,完全ランダムマインクラフト,2072622,https://www.youtube.com/watch?v=S7yvDOWhYjY,https://i.ytimg.com/vi/S7yvDOWhYjY/hqdefault.jpg,2019-10-15T09:00:06Z,782
33,人間の顔を改造して遊ぶゲーム,2004610,https://www.youtube.com/watch?v=0lSV39715uA,https://i.ytimg.com/vi/0lSV39715uA/hqdefault.jpg,2021-02-14T10:00:01Z,693
34,打ち上げ花火を10000発　真横から見るとどうなるの？,1996122,https://www.youtube.com/watch?v=i-krFM6qN74,https://i.ytimg.com/vi/i-krFM6qN74/hqdefault.jpg,2021-03-07T10:00:12Z,986
35,"地球を毎秒10,000,000回自転させたらどうなるのか検証したユニバースサンドボックス２",1987728,https://www.youtube.com/watch?v=0017RsBbUHk,https://i.ytimg.com/vi/0017RsBbUHk/hqdefault.jpg,2020-01-18T10:00:01Z,723
36,リュウをコピーしたカービィでも灼熱波動拳はうてる？ほか,1986401,https://www.youtube.com/watch?v=YDeWbg211sE,https://i.ytimg.com/vi/YDeWbg211sE/hqdefault.jpg,2019-01-27T08:00:00Z,361
37,重力を2倍→4倍→8倍→16倍と上げていったら生物はどう進化するか実験するスピーシーズ,1978933,https://www.youtube.com/watch?v=0JUlt1eDxkM,https://i.ytimg.com/vi/0JUlt1eDxkM/hqdefault.jpg,2020-06-01T10:00:00Z,861
38,通常の500倍に強化した隕石を街に落としてそこから再建するシティーズスカイラインズ,1930228,https://www.youtube.com/watch?v=-ftm9fX-BMg,https://i.ytimg.com/vi/-ftm9fX-BMg/hqdefault.jpg,2019-12-28T10:00:01Z,1036
39,偽スマホを作ってバカからお金を巻き上げるスマートフォンタイクーン・デフィニティブ・エディション,1908077,https://www.youtube.com/watch?v=cI0mCou7EPI,https://i.ytimg.com/vi/cI0mCou7EPI/hqdefault.jpg,2019-09-06T10:00:17Z,1113
40,街に関所を作ってゲームが意図しない方法でボロ儲けするシティーズスカイラインズ,1883139,https://www.youtube.com/watch?v=2hVNvEu5UmU,https://i.ytimg.com/vi/2hVNvEu5UmU/hqdefault.jpg,2021-04-06T10:00:02Z,819
41,"ローマ兵100,000人と戦車100,000台で戦わせてみた",1881692,https://www.youtube.com/watch?v=KW2QONY-LUg,https://i.ytimg.com/vi/KW2QONY-LUg/hqdefault.jpg,2022-06-03T10:00:16Z,1203
42,支持率を100%にしたかったら反対派を全員暗殺すればいいだけなんだよねトロピコ6,1871068,https://www.youtube.com/watch?v=VyDOqhZ92xE,https://i.ytimg.com/vi/VyDOqhZ92xE/hqdefault.jpg,2020-07-01T10:00:25Z,820
43,ブラックホールを安全に太陽系に設置する方法を検証したユニバースサンドボックス２,1840071,https://www.youtube.com/watch?v=xlrCQBY_hjw,https://i.ytimg.com/vi/xlrCQBY_hjw/hqdefault.jpg,2019-09-09T09:00:10Z,873
44,アイドルとファンから搾取して675144202207232円稼ぐアイドルマネージャー,1831336,https://www.youtube.com/watch?v=eAkss3YLM6s,https://i.ytimg.com/vi/eAkss3YLM6s/hqdefault.jpg,2021-08-13T10:00:19Z,1237
45,「ゲームを閉じたら死ぬペット」を飼うゲーム,1825001,https://www.youtube.com/watch?v=ASgTelm7NW4,https://i.ytimg.com/vi/ASgTelm7NW4/hqdefault.jpg,2022-04-10T10:00:13Z,849
46,文字通り死ぬほど頑張って最強のユーチューバーになる事を目指すシムズ4,1816376,https://www.youtube.com/watch?v=I6AvWw_o8rI,https://i.ytimg.com/vi/I6AvWw_o8rI/hqdefault.jpg,2020-07-04T10:00:11Z,1354
47,金で全てを解決する史上最低のMMORPGを作るMMORPGタイクーン2,1814798,https://www.youtube.com/watch?v=Fk0vHO4bkVc,https://i.ytimg.com/vi/Fk0vHO4bkVc/hqdefault.jpg,2021-07-14T10:00:11Z,1524
48,死ぬほど混雑する新宿駅を作るSTATIONflow,1804227,https://www.youtube.com/watch?v=7YQtBSXa8sI,https://i.ytimg.com/vi/7YQtBSXa8sI/hqdefault.jpg,2020-04-17T10:00:09Z,1458
49,食事中に価格が100倍になるぼったくりレストランでボロ儲けするシェフ,1803754,https://www.youtube.com/watch?v=GB8eISSB9xA,https://i.ytimg.com/vi/GB8eISSB9xA/hqdefault.jpg,2020-02-23T10:00:37Z,1123
50,近所に住む人を全員奴隷化してボロ儲けするシムズ4,1759818,https://www.youtube.com/watch?v=4JoFn6pll5c,https://i.ytimg.com/vi/4JoFn6pll5c/hqdefault.jpg,2020-05-20T10:00:00Z,937
51,"エンジンを999,999,999,999,999個繋いだ車を作る",1708921,https://www.youtube.com/watch?v=n8stb_5EIdY,https://i.ytimg.com/vi/n8stb_5EIdY/hqdefault.jpg,2021-11-08T10:00:16Z,785
52,医者として他人を殴りまくり病院送りにする事によりぼろ儲けするギルド３,1694562,https://www.youtube.com/watch?v=MtSgq8eWFos,https://i.ytimg.com/vi/MtSgq8eWFos/hqdefault.jpg,2022-07-06T10:00:15Z,1346
53,メガ密を作り出すため徒歩強制の島を作ったら呪いで燃えたシティーズスカイラインズ,1680517,https://www.youtube.com/watch?v=v_pMVsQHuuQ,https://i.ytimg.com/vi/v_pMVsQHuuQ/hqdefault.jpg,2020-05-02T10:00:27Z,1015
54,地球の真横に1秒だけブラックホールが出現したら…,1672436,https://www.youtube.com/watch?v=IFL4tiIXyBQ,https://i.ytimg.com/vi/IFL4tiIXyBQ/hqdefault.jpg,2022-02-21T10:00:13Z,599
55,バスを時速600キロで壁にぶつけたら宇宙が誕生したBeamNG.drive,1668879,https://www.youtube.com/watch?v=_rj3Q85sOsc,https://i.ytimg.com/vi/_rj3Q85sOsc/hqdefault.jpg,2020-10-05T10:00:06Z,913
56,ライトセーバーやマイクラのTNTで人間をばらばらにしていくブレードアンドソーサリー,1624903,https://www.youtube.com/watch?v=TkQ56nUkuZk,https://i.ytimg.com/vi/TkQ56nUkuZk/hqdefault.jpg,2019-12-10T10:00:05Z,912
57,バターをまるごとトッピングしたカップケーキはインスタ映えするよねクッキングシミュレーター,1622644,https://www.youtube.com/watch?v=_9eq_0Bo0hU,https://i.ytimg.com/vi/_9eq_0Bo0hU/hqdefault.jpg,2020-07-07T10:00:24Z,1196
58,"ギャンブルしてマイナス1,148,512,599円稼ぐカーディーラー",1611048,https://www.youtube.com/watch?v=ERQEMniVqAc,https://i.ytimg.com/vi/ERQEMniVqAc/hqdefault.jpg,2020-04-29T10:00:08Z,1074
59,どんな手を使っても天動説を再現するユニバースサンドボックス２,1606644,https://www.youtube.com/watch?v=5P6xl6FvjjY,https://i.ytimg.com/vi/5P6xl6FvjjY/hqdefault.jpg,2020-02-14T10:08:21Z,964
60,VRでワンパンマンになって人間を宇宙まで飛ばしていくブレードアンドソーサリー,1595716,https://www.youtube.com/watch?v=heSrXYWG8ZA,https://i.ytimg.com/vi/heSrXYWG8ZA/hqdefault.jpg,2019-09-12T09:00:07Z,784
61,異変があったらチャンネル変えるゲーム【PSA】,1591528,https://www.youtube.com/watch?v=hwgXjPJR3Ew,https://i.ytimg.com/vi/hwgXjPJR3Ew/hqdefault.jpg,2024-12-29T15:25:25Z,891
62,このキャラはどう歩く？,1575486,https://www.youtube.com/watch?v=rP-5XQzv3H4,https://i.ytimg.com/vi/rP-5XQzv3H4/hqdefault.jpg,2020-06-13T10:00:28Z,776
63,目的のためには手段を選ばないマックスウェル君を操るゲーム,1569691,https://www.youtube.com/watch?v=DSF74gwZ16g,https://i.ytimg.com/vi/DSF74gwZ16g/hqdefault.jpg,2022-04-07T10:00:12Z,1168
64,"自由度99,999,999%の最強自作キャラを作る格ゲー",1568263,https://www.youtube.com/watch?v=SrnRl98v22s,https://i.ytimg.com/vi/SrnRl98v22s/hqdefault.jpg,2022-01-04T10:00:13Z,1521
65,反則という概念がないボクシングゲーム,1567081,https://www.youtube.com/watch?v=BAlIOEZuPDM,https://i.ytimg.com/vi/BAlIOEZuPDM/hqdefault.jpg,2022-06-06T10:00:14Z,1224
66,千と千尋の神隠し（画像は常識の範囲内でご自由にお使い下さい。エディション（フル））,1558416,https://www.youtube.com/watch?v=rXG_3iCfR3M,https://i.ytimg.com/vi/rXG_3iCfR3M/hqdefault.jpg,2020-09-23T10:00:13Z,444
67,改造しすぎて人間としての姿を保てなくなったスケボーゲーム（Skater XL）,1549285,https://www.youtube.com/watch?v=2Qa8ooCiHFg,https://i.ytimg.com/vi/2Qa8ooCiHFg/hqdefault.jpg,2020-11-13T11:00:00Z,973
68,なんでも巨大化できるMODでなんでも巨大化するマインクラフト,1539528,https://www.youtube.com/watch?v=WBd1L4DU52M,https://i.ytimg.com/vi/WBd1L4DU52M/hqdefault.jpg,2021-03-25T10:00:21Z,798
69,飛行機が墜落するらしいので一番ダメな姿勢をとったらこうなったプリペアフォーインパクト,1521810,https://www.youtube.com/watch?v=xELqSUKCof8,https://i.ytimg.com/vi/xELqSUKCof8/hqdefault.jpg,2020-03-18T10:00:31Z,1026
70,"囚人を肥料にしてトウモロコシを育て毎日10,000,000円稼ぐプリズンアーキテクト",1511655,https://www.youtube.com/watch?v=3kCr8TDN1FE,https://i.ytimg.com/vi/3kCr8TDN1FE/hqdefault.jpg,2021-02-02T10:00:01Z,1076
71,スケボーに乗ってたのに気がついたら首がなくなっていたセッション,1510655,https://www.youtube.com/watch?v=1pcP0C7GZL0,https://i.ytimg.com/vi/1pcP0C7GZL0/hqdefault.jpg,2019-09-24T09:00:00Z,738
72,平和な島で暮らす島民にちょっかいかけるゲーム（Pineapple on Pizza）,1507304,https://www.youtube.com/watch?v=vY_yE_iEpcs,https://i.ytimg.com/vi/vY_yE_iEpcs/hqdefault.jpg,2023-04-02T10:00:12Z,510
73,"滑ったら999,999,999%死ぬスキー場を作る",1493235,https://www.youtube.com/watch?v=JtY6TstzB40,https://i.ytimg.com/vi/JtY6TstzB40/hqdefault.jpg,2021-10-18T10:00:16Z,871
74,○○キロの隕石なら日本から一番遠いブラジルに落ちた時とりあえず日本は助かる,1492937,https://www.youtube.com/watch?v=jWbXM0z79DU,https://i.ytimg.com/vi/jWbXM0z79DU/hqdefault.jpg,2020-04-05T10:00:14Z,753
75,絶対壊れないシェルター ＶＳ 改造強化した竜巻,1490945,https://www.youtube.com/watch?v=jDGe7jvqYUM,https://i.ytimg.com/vi/jDGe7jvqYUM/hqdefault.jpg,2019-04-13T06:09:46Z,717
76,人の臓器が売ってるショッピングモールを経営して大金持ちを目指すアナザーブリックインザモール,1480883,https://www.youtube.com/watch?v=MPXborAmMKs,https://i.ytimg.com/vi/MPXborAmMKs/hqdefault.jpg,2019-12-07T10:00:05Z,964
77,バグと改造でもっとめちゃくちゃにするスーパーマーケットシミュレーター,1471845,https://www.youtube.com/watch?v=_P5IjVL_CJ4,https://i.ytimg.com/vi/_P5IjVL_CJ4/hqdefault.jpg,2024-03-22T10:00:28Z,1720
78,うっかり死刑執行しちゃう事もあるけど基本人道的なプリズンアーキテクト,1463238,https://www.youtube.com/watch?v=xgqWkEd-WkA,https://i.ytimg.com/vi/xgqWkEd-WkA/hqdefault.jpg,2019-06-24T09:00:10Z,743
79,毎日ひとつ月を増やして100日後に滅亡する地球,1457583,https://www.youtube.com/watch?v=DTxcemcrmyg,https://i.ytimg.com/vi/DTxcemcrmyg/hqdefault.jpg,2020-03-24T10:00:11Z,957
80,【アニメ】パソコンとレンジ一緒に付けるとブレーカー落ちる,1440565,https://www.youtube.com/watch?v=bhRdQ_jrCcQ,https://i.ytimg.com/vi/bhRdQ_jrCcQ/hqdefault.jpg,2020-09-04T10:00:26Z,120
81,超体に悪いコーヒーを客に出すエスプレッソタイクーン,1432326,https://www.youtube.com/watch?v=FJS5croEUjk,https://i.ytimg.com/vi/FJS5croEUjk/hqdefault.jpg,2023-07-04T10:00:11Z,1074
82,宇宙ロケットの上に生身の人のせて発射したらポップコーンみたいに弾けたKSP,1425496,https://www.youtube.com/watch?v=Hihyq6szlj8,https://i.ytimg.com/vi/Hihyq6szlj8/hqdefault.jpg,2020-12-28T10:00:03Z,1424
83,全体的に意味がわからないゲーム【ストリーマーライフ】,1422384,https://www.youtube.com/watch?v=CxRDMUcLnVU,https://i.ytimg.com/vi/CxRDMUcLnVU/hqdefault.jpg,2020-10-14T10:00:09Z,1195
84,暗殺者になって手当り次第暗殺していったらこうなりましたヒットマン2,1402797,https://www.youtube.com/watch?v=RQZj_mbSwpo,https://i.ytimg.com/vi/RQZj_mbSwpo/hqdefault.jpg,2020-07-19T10:00:06Z,1097
85,人間爆弾をヤクザ事務所に投げ込む学校生活を送るサクラスクールシミュレーター,1397304,https://www.youtube.com/watch?v=Pxy7bg6lEdw,https://i.ytimg.com/vi/Pxy7bg6lEdw/hqdefault.jpg,2022-04-01T10:00:13Z,1096
86,のばまんのシムズ総集編１～１４,1389431,https://www.youtube.com/watch?v=1LWKxtmzo1M,https://i.ytimg.com/vi/1LWKxtmzo1M/hqdefault.jpg,2024-08-25T10:00:02Z,11151
87,人の家のもの全部盗む,1388613,https://www.youtube.com/watch?v=Ev3LOUWQ9Do,https://i.ytimg.com/vi/Ev3LOUWQ9Do/hqdefault.jpg,2019-07-14T03:00:01Z,1119
88,広告で見た事あるゲームを全部やる,1383670,https://www.youtube.com/watch?v=zIp_3Vd_Ry8,https://i.ytimg.com/vi/zIp_3Vd_Ry8/hqdefault.jpg,2021-05-24T10:00:22Z,1174
89,無実のAIを死ぬほど脅しまくって自白させるドキドキAI尋問ゲーム,1377900,https://www.youtube.com/watch?v=bQnrN8rcoGg,https://i.ytimg.com/vi/bQnrN8rcoGg/hqdefault.jpg,2024-05-27T10:00:24Z,1840
90,人間とエンジンを合体させて宇宙船を作ったカーバルスペースプログラム,1362579,https://www.youtube.com/watch?v=eCipMjo1vSI,https://i.ytimg.com/vi/eCipMjo1vSI/hqdefault.jpg,2019-12-19T10:00:06Z,1077
91,看守がいなくなれば簡単に脱獄できるかどうかを検証するプリズンアーキテクト,1357056,https://www.youtube.com/watch?v=bApZRcnkxUo,https://i.ytimg.com/vi/bApZRcnkxUo/hqdefault.jpg,2022-09-28T10:00:13Z,670
92,登校するだけで死ぬ学校を作るシムズ４,1347834,https://www.youtube.com/watch?v=T8RNb2_pclk,https://i.ytimg.com/vi/T8RNb2_pclk/hqdefault.jpg,2022-09-22T10:00:13Z,867
93,ウイルスのデマを払拭するためもっと荒唐無稽なデマを流して戦うプレイグインク,1341059,https://www.youtube.com/watch?v=iC2umqDTJRk,https://i.ytimg.com/vi/iC2umqDTJRk/hqdefault.jpg,2020-01-30T11:00:08Z,991
94,健全な精神は健全な肉体に宿るなら運動だけさせれば素晴らしい人間になるのか試したシムズ４,1340252,https://www.youtube.com/watch?v=Xj5IMm1iIk0,https://i.ytimg.com/vi/Xj5IMm1iIk0/hqdefault.jpg,2019-10-09T09:00:08Z,654
95,モンスターボールでアヌビス神を捕まえて繁殖させ奴隷労働させるゲームクラフトピア,1335076,https://www.youtube.com/watch?v=tp251lkF0t0,https://i.ytimg.com/vi/tp251lkF0t0/hqdefault.jpg,2020-09-08T10:00:27Z,1043
96,葬儀社の株を買う→市民を殺す→無限に儲かる　シティーズスカイライン,1323730,https://www.youtube.com/watch?v=_lY70zBNmVo,https://i.ytimg.com/vi/_lY70zBNmVo/hqdefault.jpg,2023-02-16T10:00:10Z,743
97,壺ゲー難しいからMOD入れて遊ぶげティングオーバーイット,1320000,https://www.youtube.com/watch?v=CnlYiQPnBvI,https://i.ytimg.com/vi/CnlYiQPnBvI/hqdefault.jpg,2020-01-21T10:00:02Z,635
98,ゲームセンターの機械、ハズレ穴を全部塞げば絶対負けない説を試すコインゲーム,1314825,https://www.youtube.com/watch?v=Qlzbvjw5bag,https://i.ytimg.com/vi/Qlzbvjw5bag/hqdefault.jpg,2021-01-15T10:00:07Z,1216
99,パチモンを売ってボロ儲けするパスパルトゥー,1307857,https://www.youtube.com/watch?v=k94Gm5PYD_A,https://i.ytimg.com/vi/k94Gm5PYD_A/hqdefault.jpg,2020-12-01T10:00:22Z,1109
100,魔法の力で人間を空に投げ飛ばして遊ぶBlade and Sorcery,1304062,https://www.youtube.com/watch?v=Y6XjClVIkX8,https://i.ytimg.com/vi/Y6XjClVIkX8/hqdefault.jpg,2020-06-22T10:00:12Z,1049
101,政治家となり傷害罪を合法化するギルド3,1296269,https://www.youtube.com/watch?v=bV1PsZbRe6g,https://i.ytimg.com/vi/bV1PsZbRe6g/hqdefault.jpg,2019-07-18T09:00:08Z,795
102,天まで届くケーキを作ろうと思ったけどやっぱりプロパンガスを1000個買って一度に爆破したクッキングシミュレーター,1291661,https://www.youtube.com/watch?v=j-J10KDCYLE,https://i.ytimg.com/vi/j-J10KDCYLE/hqdefault.jpg,2020-07-10T10:00:28Z,454
103,デルタルーンのガスターの考察と痕跡,1287023,https://www.youtube.com/watch?v=CCMI2c3MP34,https://i.ytimg.com/vi/CCMI2c3MP34/hqdefault.jpg,2018-11-17T19:00:00Z,630
104,ブサイクじゃない子供ができるまでブサイクを美人と結婚させるシムズ4,1276138,https://www.youtube.com/watch?v=NLpsRgqbKp0,https://i.ytimg.com/vi/NLpsRgqbKp0/hqdefault.jpg,2018-12-25T03:00:02Z,401
105,宇宙の法則が乱れる草をピザに乗せて食べたら死ぬピザを作るクッキングシミュレーター,1272159,https://www.youtube.com/watch?v=BOhrwCUmQL4,https://i.ytimg.com/vi/BOhrwCUmQL4/hqdefault.jpg,2020-11-16T10:00:07Z,788
106,視界に入った生物全員殺すアウターワールド,1258914,https://www.youtube.com/watch?v=l98HAtOCmik,https://i.ytimg.com/vi/l98HAtOCmik/hqdefault.jpg,2019-11-02T09:00:07Z,555
107,ゴムゴムの死刑！！！！！,1253738,https://www.youtube.com/watch?v=TInUQ_AsBV0,https://i.ytimg.com/vi/TInUQ_AsBV0/hqdefault.jpg,2022-01-10T10:00:16Z,1477
108,バグと魔法でバカみたいに金持ちになるスーパーマーケットシミュレーター,1252585,https://www.youtube.com/watch?v=QrxuHcsUDRw,https://i.ytimg.com/vi/QrxuHcsUDRw/hqdefault.jpg,2024-03-19T10:00:20Z,1644
109,次世代のVRゲームをやったら未来的だったがちょっと怖かったボーンワークス,1252581,https://www.youtube.com/watch?v=oDDV8lpx-4A,https://i.ytimg.com/vi/oDDV8lpx-4A/hqdefault.jpg,2019-12-13T10:00:09Z,1391
110,清掃業者のフリをして家を破壊して回るハウスフリッパー,1233075,https://www.youtube.com/watch?v=M5rIjd_VWoA,https://i.ytimg.com/vi/M5rIjd_VWoA/hqdefault.jpg,2020-06-07T10:00:06Z,968
111,iPhoneの絵文字を参考に飛行機✈を作ったらある意味完璧な飛行機が出来上がったカーバルスペースプログラム,1232616,https://www.youtube.com/watch?v=Sv6AoXonvd8,https://i.ytimg.com/vi/Sv6AoXonvd8/hqdefault.jpg,2020-03-06T10:00:06Z,951
112,高校に侵入してパソコン室から勝手にゲーム配信者になるシムズ4,1224585,https://www.youtube.com/watch?v=tFeJZ4qi5Qg,https://i.ytimg.com/vi/tFeJZ4qi5Qg/hqdefault.jpg,2022-09-13T10:00:14Z,943
113,客の電車の乗り方がどう考えてもおかしいサブウェイシミュレーター,1223228,https://www.youtube.com/watch?v=V_Mambzn8MQ,https://i.ytimg.com/vi/V_Mambzn8MQ/hqdefault.jpg,2020-08-03T10:00:07Z,818
114,視界に入った人間を全員一度は蹴り殺すピクニク,1221112,https://www.youtube.com/watch?v=Pbv-6Fg-dWs,https://i.ytimg.com/vi/Pbv-6Fg-dWs/hqdefault.jpg,2020-04-02T10:00:11Z,1006
115,【ドッキリ】太陽系の惑星を全部サッカーボールとかティーカップに置き替えるドッキリしてみたユニバースサンドボックス２,1216364,https://www.youtube.com/watch?v=pYSE3kjqLSg,https://i.ytimg.com/vi/pYSE3kjqLSg/hqdefault.jpg,2019-09-30T09:00:07Z,976
116,バスを運転してただけなのにかなり大変な事になったザ・バス,1215974,https://www.youtube.com/watch?v=brnNA2xQfuE,https://i.ytimg.com/vi/brnNA2xQfuE/hqdefault.jpg,2021-05-12T10:00:16Z,1184
117,動物園の園長として檻を破壊したら動物が全部逃げてシマウマが死んだプラネットズー,1215627,https://www.youtube.com/watch?v=zY2eb2NsecU,https://i.ytimg.com/vi/zY2eb2NsecU/hqdefault.jpg,2019-09-26T09:00:20Z,921
118,"Vtuberになって毎日999,999,999円稼ぐVtuberシミュレーター",1212511,https://www.youtube.com/watch?v=dkW6Lh06lfY,https://i.ytimg.com/vi/dkW6Lh06lfY/hqdefault.jpg,2021-09-15T10:00:21Z,1455
